Part/linker,Well,Part concentration (ng/uL)
L1-P,A1
L1-S,A2
L2-P,A3
L2-S,A4
L3-P,A5
L3-S,A6
LMP-P,A7
LMP-S,A8
LMS-P,A9
LMS-S,A10
TU_Tkl1_Var_pALD6,A11
TU_Tkl1_Var_pCCW12,A12
TU_Tkl1_Var_pHHF1,B1
TU_Tkl1_Var_pPGK1,B2
TU_Tkl1_Var_pPOP6,B3
TU_Tkl1_Var_pREV1,B4
TU_aro3_Var_pALD6,B5
TU_aro3_Var_pCCW12,B6
TU_aro3_Var_pHHF1,B7
TU_aro3_Var_pPGK1,B8
TU_aro3_Var_pPOP6,B9
TU_aro3_Var_pREV1,B10
TU_dCas9_Var_pALD6,B11
TU_dCas9_Var_pCCW12,B12
TU_dCas9_Var_pHHF1,C1
TU_dCas9_Var_pPGK1,C2
TU_dCas9_Var_pPOP6,C3
TU_dCas9_Var_pREV1,C4
TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA,C5
TU_gRNA_Cassette_Var_PheA1_TyrA5_gRNA,C6
TU_gRNA_Cassette_Var_PheA2_TyrA4_gRNA,C7
TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA,C8
TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA,C9
TU_gRNA_Cassette_Var_PheA5_TyrA1_gRNA,C10
TU_gRNA_Cassette_Var_PheA6_TyrA0_gRNA,C11
dummyBackbone,C12
